1000, 704, 9
10000, 7114, 133
11000, 7686, 135
12000, 8399, 185
13000, 9158, 152
14000, 9843, 265
15000, 10455, 315
16000, 11143, 215
17000, 11962, 368
18000, 12578, 436
19000, 13354, 476
2000, 1382, 4
20000, 13980, 518
21000, 14674, 532
22000, 15334, 632
23000, 16136, 530
24000, 16769, 640
25000, 17541, 705
26000, 18254, 565
27000, 19007, 975
28000, 19630, 981
29000, 20318, 799
3000, 2054, 8
30000, 21090, 939
31000, 21747, 1107
32000, 22373, 1301
33000, 23121, 1395
34000, 23850, 1228
35000, 24626, 1294
36000, 25208, 1292
37000, 25774, 1240
38000, 26618, 1176
39000, 27093, 1217
4000, 2757, 15
40000, 28002, 1613
41000, 28804, 1349
42000, 29477, 1759
43000, 30023, 1607
44000, 30707, 1608
45000, 31446, 1813
46000, 32437, 1897
47000, 32993, 1876
48000, 33520, 1811
49000, 34430, 1989
5000, 3469, 24
50000, 34953, 2044
51000, 35798, 2015
52000, 36346, 2540
53000, 37121, 2452
54000, 37733, 2293
55000, 38477, 1984
56000, 39213, 3098
57000, 39732, 2526
58000, 40435, 2527
59000, 41163, 2577
6000, 4144, 31
60000, 42060, 2801
61000, 43004, 2872
62000, 43445, 3254
63000, 44037, 3068
64000, 44620, 2995
65000, 45442, 2807
66000, 46065, 3056
67000, 46723, 3053
68000, 47465, 3559
69000, 48256, 3668
7000, 4971, 49
70000, 49114, 3237
71000, 49722, 3404
72000, 50246, 3814
73000, 51030, 4549
74000, 51737, 4862
75000, 52539, 4966
76000, 53254, 4997
77000, 53841, 4863
78000, 54504, 4946
79000, 55203, 4076
8000, 5546, 46
80000, 56173, 4223
81000, 56684, 4513
82000, 57485, 4649
83000, 58202, 4713
84000, 58938, 4733
85000, 59371, 4483
86000, 59946, 5059
87000, 60830, 5716
88000, 61712, 5714
89000, 62434, 6319
9000, 6266, 63
90000, 62915, 5999
91000, 63714, 6504
92000, 64515, 6520
93000, 64948, 6727
94000, 65725, 6503
95000, 66526, 7053
96000, 67414, 5992
97000, 67687, 5906
98000, 68578, 6181
99000, 69169, 6694
