1000, 704, 5
10000, 7114, 16
11000, 7686, 14
12000, 8399, 8
13000, 9158, 9
14000, 9843, 7
15000, 10455, 9
16000, 11143, 8
17000, 11962, 7
18000, 12578, 14
19000, 13354, 16
2000, 1382, 1
20000, 13980, 9
21000, 14674, 9
22000, 15334, 9
23000, 16136, 10
24000, 16769, 23
25000, 17541, 23
26000, 18254, 10
27000, 19007, 12
28000, 19630, 13
29000, 20318, 12
3000, 2054, 1
30000, 21090, 14
31000, 21747, 15
32000, 22373, 23
33000, 23121, 32
34000, 23850, 33
35000, 24626, 22
36000, 25208, 17
37000, 25774, 17
38000, 26618, 18
39000, 27093, 18
4000, 2757, 2
40000, 28002, 18
41000, 28804, 19
42000, 29477, 19
43000, 30023, 20
44000, 30707, 21
45000, 31446, 45
46000, 32437, 46
47000, 32993, 34
48000, 33520, 23
49000, 34430, 24
5000, 3469, 2
50000, 34953, 23
51000, 35798, 26
52000, 36346, 25
53000, 37121, 24
54000, 37733, 26
55000, 38477, 31
56000, 39213, 29
57000, 39732, 27
58000, 40435, 28
59000, 41163, 68
6000, 4144, 6
60000, 42060, 70
61000, 43004, 69
62000, 43445, 33
63000, 44037, 38
64000, 44620, 40
65000, 45442, 38
66000, 46065, 30
67000, 46723, 32
68000, 47465, 33
69000, 48256, 27
7000, 4971, 3
70000, 49114, 35
71000, 49722, 39
72000, 50246, 36
73000, 51030, 37
74000, 51737, 37
75000, 52539, 33
76000, 53254, 39
77000, 53841, 40
78000, 54504, 44
79000, 55203, 40
8000, 5546, 3
80000, 56173, 42
81000, 56684, 42
82000, 57485, 43
83000, 58202, 43
84000, 58938, 43
85000, 59371, 43
86000, 59946, 45
87000, 60830, 45
88000, 61712, 46
89000, 62434, 45
9000, 6266, 4
90000, 62915, 43
91000, 63714, 47
92000, 64515, 48
93000, 64948, 47
94000, 65725, 37
95000, 66526, 47
96000, 67414, 48
97000, 67687, 49
98000, 68578, 49
99000, 69169, 50
